item,projeto_id_fiotec,titulo_projeto,objetivo_geral,coordenador_geral,coordenacao,numero_processo,tipo_instrumento_contratual,parceiro,categoria_teds,numero_instrumento_contratual,natureza_projeto,data_inicio_vigencia,data_fim_vigencia,eixo_mapa_estrategico_fiocruz,valor_total_projetos,recurso_liberado,recurso_a_receber,total_realizado,total_comprometido,saldo_total_atual,saldo_calculado,diferenca_saldo,percentual_realizado_sobre_liberado,percentual_receber_sobre_total
62,GEREB-051-FIO-24,Mãe Nitinha: Um Legado De Tradição E Amorosidade Na Promoção De Cuidado,"Apoiar A Pesquisa E O Registro Sobre A Vida E A Trajetória De Aeronithes Conceição Chagas – Yiá Nitinha De Oxum No Ilê Axé Ya Nassô Osum, Como Mulher, Liderança Política, Religiosa E Cultural Que Por Mais De Seis Décadas Dirigiu Um Espaço De Terreiro De Tradição De Matriz Africana Que Segue Acolhendo, Alimentando E Fortalecendo A Identidade Cultural, A Existência E A Promoção De Saúde E Cuidado Das Pessoas Moradoras Da Comunidade De Miguel Couto, No Município De Nova Iguaçu E Adjacências.",Denise Oliveira E Silva,PALIN,25027.000333/2024-47,EMENDA PARLAMENTAR,DEP. HENIRQUE VIEIRA/TALÍRIA PETRONE,,40700017/44420003,Pesquisa,2024-08-06,2026-08-06,Saúde E Sustentabilidade Socioambiental,850000.0,867099.18,25000.0,720235.89,4000.0,142863.29,142863.29,0.0,83.06,2.94
63,GEREB-052-FIO-24,Formação De Promotores De Saúde Em Defesa Dos Direitos Humanos Da Pessoa Idosa E Com Deficiências,"Desenvolver Um Programa Educacional À Distância Pelo Sistema Una-Sus Destinado A Conselheiros, Líderes Comunitários, Gestores, Pessoas Idosas E Pessoas Com Deficiência Para Atuarem Como Promotores De Saúde Em Defesa Dos Direitos Humanos Da Pessoa Idosa E Com Deficiências.",Kellen Cristina Da Silva Gasque,UNASUS,25027.000278/2024-95,TED,MINISTÉRIO DOS DIREITOS HUMANOS E DA CIDADANIA,TED MDHC,12/2024,Ensino,2024-08-08,2026-06-14,"Saúde, Estado E Cooperação Internacional",400000.0,420736.67,0.0,420565.0,0.0,171.67,171.67,0.0,99.96,0.0
64,GEREB-053-FIO-24,Implementação De Hortas Tradicionais Para A Promoção Da Alimentação Adequada E Saudável Em Terreiros Religiosos De Matriz Africana,"Implementar Hortas Comunitárias Em Terreiros De Matriz Africana Para A Promoção Da Soberania, Segurança Alimentar E Nutricional E Saúde.",Denise Oliveira E Silva,PALIN,25027.000335/2024-36,EMENDA PARLAMENTAR,DEP. TARCÍSIO MOTTA,,44830011,Pesquisa,2024-08-12,2026-08-12,Saúde E Sustentabilidade Socioambiental,300000.0,313652.14,0.0,306723.72,0.0,6928.42,6928.42,0.0,97.79,0.0
65,GEREB-046-FIO-24,"Conexões De Saberes Iii – Ações De Formação, Pesquisa, Inovação Tecnológica E Aplicação Referenciadas Na Educação Popular Em Saúde E Na Promoção Da Equidade","Implementar Processos Educativos, De Pesquisa, Inovação  Tecnológica E Promoção Da Equidade, Referenciados Na Educação Popular Em Saúde, Contribuindo Com O Resgate E Implementação Da  Política Nacional De Educação Popular Em Saúde No Sistema Único De Saúde, Contribuindo Com A Estruturação De Uma Rede De  Educadores(As) Implicados(As) Com A Defesa Do Sus, Da Democracia E Da Equidade.",Osvaldo Peralta Bonetti,ANGICOS,25027.000270/2024-29,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260008,Ensino,2024-07-29,2026-07-29,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",8344584.0,7754207.15,1169584.0,6596696.71,246972.98,910537.46,910537.46,0.0,85.07,14.02
66,GEREB-055-FIO-24,Ações De Promoção Da Política Nacional De Educação Popular Em Saúde No Sistema Único De Saúde,"Contribuir Com O Departamento De Gestão Interfederativa E Participativa Da Secretaria Executiva, Do Ministério Da Saúde (Dgip/Se/Ms) No Processo De Fortalecimento Da Política Nacional De Educação Popular Em Saúde No Âmbito Do Sistema Único De Saúde (Pneps-Sus), Por Meio De Ações De Formação E Mobilização Popular.",Osvaldo Peralta Bonetti,ANGICOS,25027.000282/2024-53,TED,MINISTÉRIO DA SAÚDE,TED MS,21/2024,Ensino,2024-08-20,2026-08-20,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",7000000.0,5262607.7,2000000.0,4312945.39,79812.16,869850.15,869850.15,0.0,81.95,28.57
67,GEREB-056-FIO-24,"Subsídios Para A Formulação De Políticas Públicas Para Promoção Da Saúde E Da Soberania, Segurança Alimentar E Nutricional Em Comunidades E Povos De Terreiros Religiosos Na Ride-Df","Apresentar Subsídios Para Caracterizar Comunidades E Povos De Terreiros Religiosos De Matriz Africana Da Ride-Df Como Equipamentos Públicos De Promoção A Saúde, Soberania, Segurança Alimentar E Nutricional.",Denise Oliveira E Silva,PALIN,25027.000334/2024-91,EMENDA PARLAMENTAR,DEP. ERIKA KOKAY,,28260008,Pesquisa,2024-10-09,2026-10-09,Saúde E Sustentabilidade Socioambiental,1700000.0,780910.77,950000.0,619332.76,190920.0,51658.01,-29341.99,81000.0,79.31,55.88
68,GEREB-058-FIO-24,Fortalecimento Da Política De Enfrentamento Ao Superencarceramento E Fomento À Reintegração Social - Alternativas Penais,"Desenvolver E Aplicar Estratégias De Apoio À Gestão, Inovação, Formação, Pesquisa E Divulgação De Conhecimento Para O Fortalecimento E Regionalização Das Alternativas Ao Cárcere E Da Reintegração Social.",André Vinícius Pires Guerrero,NUSMAD,25027.000308/2024-63,TED,MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,TED MJSP,28763109/2024,Extensão,2024-10-21,2027-10-21,"Ciência, Tecnologia, Saúde E Sociedade",15012998.4,3315789.59,12068187.11,2014117.46,181000.0,1120672.13,1120672.13,0.0,60.74,80.38
69,GEREB-060-FIO-24,"Rua Sentinela: Monitoramento E Fortalecimento Das Políticas Públicas Do Sus E Do Suas Para A População Em Situação De Rua, Nos Territórios.","Promover A Melhoria Do Acesso A Serviços Públicos No Sus E No Suas, Para A População Em Situação De Rua (Psr), Por Meio Do Fortalecimento Das Políticas Públicas, Do Monitoramento Eficaz E Da Promoção De Ações Integradas E Colaborativas.",José Antonio Silvestre Fernandes Neto,ASSESSORIAS,25027.000356/2024-51,EMENDA PARLAMENTAR,DEP. ERIKA HILTON,,43680013,Pesquisa,2024-12-09,2026-12-09,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",1000000.0,720102.09,301000.0,629273.54,148932.73,-58104.18,-58104.18,0.0,87.39,30.1
70,GEREB-059-FIO-24,Desenvolvimento Agrário E Promoção Da Saúde: Construindo Participação Social E Incidência Política,"Apoiar Ações De Mobilização E Participação Social, Junto As 27 (Vinte E Sete) Unidades Federativas, Envolvendo As Temáticas Do Desenvolvimento Agrário, Da Agricultura Familiar E Da Promoção A Saúde",André Luiz Dutra Fenner,PSAT,25027.000402/2024-12,TED,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,TED MDA,30879420240057-00361,Ensino,2024-12-05,2026-06-05,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4605581.0,3806690.82,1000000.0,3455240.2,153000.0,198450.62,198450.62,0.0,90.77,21.71
71,GEREB-061-FIO-24,Estudo E Pesquisa Para Atualização Da Política Nacional De Atenção Integral Da Saúde Da Mulher,Sistematizar Subsídios Técnicos Para A Atualização Da Pnaism De Modo Alinhado Às Demandas Sociais E Sanitárias Da Atualidade.,Tainá Raiol Alencar,NUSAME,25027.000400/2024-23,TED,MINISTÉRIO DA SAÚDE,TED MS,55/2024,Pesquisa,2024-12-11,2027-03-02,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",4024057.0,4027567.64,120722.0,3771535.32,200900.0,55132.32,55132.32,0.0,93.64,3.0
72,GEREB-062-FIO-24,Estratégia Intersetorial De Bioeconomia Das Plantas Medicinais Na Agricultura Familiar: Etapa Capacitações E Quintais Produtivos,Fortalecer A Cadeia De Valor Das Plantas Medicinais Por Meio De Sistemas Agroflorestais/Agroecológicos.,Wagner de Jesus Martins,COLABORATÓRIO,25027.000224/2024-20,TED,MINISTÉRIO DO DESENVOLVIMENTO AGRÁRIO E AGRICULTURA FAMILIAR,TED MDA,30879420240025-00292,Pesquisa,2024-12-19,2027-05-28,Saúde E Sustentabilidade Socioambiental,1795300.0,1522918.12,395300.0,980113.95,131000.0,411804.17,411804.17,0.0,64.36,22.02
73,GEREB-069-FIO-24,Atenção Psicossocial E Saúde Mental Em Situações De Desastres E Emergências Em Saúde Pública: Apoio Aos Trabalhadores E Gestores No Rs.,"Desenvolver Um Programa Que Contemple Ações De Formação Em Saúde Mental, Promoção, Prevenção E Cuidado Em Saúde Mental De Trabalhadores Que Integram As Equipes Dos Serviços Da Raps E Gestores, Após As Vivências No Desastre Ambiental Ocorrido Nos Meses De Abril E Maio Deste Ano No Rs.",André Vinícius Pires Guerrero,NUSMAD,25027.000524/2024-17,TED,MINISTÉRIO DA SAÚDE,TED MS,119/2024,Ensino,2024-12-30,2026-08-08,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",2819334.67,2924503.35,19334.66,2244930.39,56400.0,623172.96,623172.96,0.0,76.76,0.69
74,GEREB-070-FEX-24,"Colab-Pis: Laboratório De Colaboração Em Ciência, Tecnologia E Inovação Em Práticas Integrativas Em Saúde Do Sus Do Distrito Federal.","Ativar O Ecossistema De Inovação Em Práticas Integrativas Em Saúde Com Ciência E Tecnologia Para Garantir Integralidade, Segurança, Sustentabilidade, Participação Social E Acesso Em Diferentes Níveis De Atenção A Partir Da Política Distrital De Práticas Integrativas Em Saúde Sistema Único De Saúde Em Territórios Do Distrito Federal.",Edward Torres Maia Torres,COLABORATÓRIO,25027.000324/2024-56,CONVÊNIO PD&I,SES/DF,,027596/2024,Desenvolvimento Científico E Tecnológico/ Estímulo À Inovação,2024-12-26,2028-12-26,"Atenção, Promoção, Vigilâncias, Geração De Conhecimentos E Formação Para O Sus",21648000.0,12920297.99,10438000.0,2440646.26,383900.0,10095751.73,10095751.73,0.0,18.89,48.22
75,GEREB-063-FIO-24,"Saúde E Proteção Social, Construídas Com Participação Da Sociedade","Desenvolver Processos Formativos Pautados Nos Princípios Da Educação Popular Em Saúde, Como Uma Ferramenta Para O Fortalecimento Da Participação E Controle Social, De Forma Intersetorial E Interseccional Por Meio Do Acolhimento E Troca De Saberes Como Estratégia De Empoderamento E Protagonismo De Lideranças Sociais E Comunitárias, Na Perspectiva De Conceito Ampliado De Saúde, Com Destaque A Proteção De Populações Em Situação De Vulnerabilidade Social E Econômica",Osvaldo Peralta Bonetti,ANGICOS,25027.000534/2024-44,EMENDA PARLAMENTAR,DEP. JACK ROCHA,,43970003,Ensino,2024-12-30,2027-06-30,"Ciência, Tecnologia, Saúde E Sociedade",5000000.0,4670548.95,560000.0,1415325.49,441569.18,2813654.28,2813654.28,0.0,30.3,11.2
